  Empm   Unm   NMm  Empf  Unf    NMf
 953.7  36.5   241  672.3 37.4 586.9
 944.1  35.1 252.8  671.7 34.3 591.6
 936.2  34.9   261  674.3 33.2 592.1
 938.7  36.3 260.3  682.8 33.4 587.7
   946  37.5 255.7  683.2 34.9 590.5
 933.8  38.7 268.6  685.5 32.2   593
   931  39.7 272.1  685.5 28.6 598.9
 932.3  41.5 272.6  697.5 31.2 588.5
 915.8  49.2 283.9    683 37.7 599.4
 899.2  51.3 298.4  676.9 39.6 604.7
 879.2  59.2 310.8  667.8 43.8 610.7
 889.3  61.5 300.5  675.5 40.6 608.9
 879.2  70.7 303.2  655.5 51.2 620.3
 864.3  71.4 316.6  648.8 49.6 629.5
 858.8  69.6   325  650.8 47.3 631.1
 873.8  66.2 317.3  662.4 50.8 620.2
 869.6  71.3 321.6  664.3 52.7 621.7
 863.1  77.4 324.5  677.5 48.8 615.2
 856.6  78.5 333.6  669.3 52.9 622.4
   864  87.6 322.1  674.4 60.2 615.3
 852.6  98.8 327.4  666.5 73.7 615.3
   844   102 337.1  667.6 71.5 619.6
 832.4 112.1 341.6  663.4 72.2 626.7
 841.2 113.9 335.1    669 70.5 627.1
 845.6 114.6   335  662.7   80 627.8
   844 105.7   349  672.7 68.6 632.1
 835.2 107.4 358.8  666.9 66.8 642.1
 849.4 105.9 349.8  679.1 73.6 627.5
 854.1 106.7 348.6  671.5   72 641.4
 859.1 101.1 353.1  674.6 69.3 644.6
 856.7  95.8   364  686.9 62.3 642.4
 879.4  98.1 344.3    697 64.6 635.2
 881.9  97.3 347.9  699.7 72.6 629.9
 890.6  87.2 353.2  707.2 59.2 640.1
 896.2  81.4 357.6  716.2 54.4 640.4
 916.3  78.2 345.9  736.8 56.1 623.7
 929.7    71 346.1  732.2 56.1 634.6
 934.4  61.4   356  740.9 51.3 635.1
 936.7  61.8 357.5  750.9 46.8 634.3
   958  63.5 341.7  762.1 52.7 623.6
 957.7  67.6 345.2  764.7 55.2 625.5
 957.4  60.3 357.9  777.7 52.5 619.8
 959.3  64.7   356  787.4 52.5 614.9
 971.5  66.6 347.3  784.4 47.6 629.4
 967.8  69.3 354.2  777.9 62.1 627.5
 964.3  70.1 360.2    783 55.9 632.8
 960.8  70.7 365.8  784.2 57.2 634.4
 973.1  73.8 354.2  789.4 55.1   636
 966.6  79.3 358.5  779.8 67.2 637.8
 952.3  80.3 373.6  777.6 66.6 643.6
 944.1  81.4 381.8  786.6 59.3 644.9
 954.4  82.3 373.4  792.5 64.4 637.9
 958.6  84.9 368.6  795.6 64.1 638.8
 952.7  77.2   383  796.6 59.2 644.5
 955.9  73.8 384.4  802.7 54.1   646
 984.1  66.3 367.1  816.4 52.9 637.9
 979.3  70.2 370.8  807.5 59.8 643.9
 970.8  64.1 386.6  802.8 54.3 656.2
 976.5    64 382.2  822.6 47.1 646.1
 998.5  62.5 365.7  838.4 46.4 635.6
 997.4  60.2 371.3  829.7 51.7 643.9
 989.1  57.4 384.6  840.6 46.2   640
 998.9  54.5 382.2  839.4 46.8   645
1019.2    59 365.1  864.8 47.6 626.5
1036.3  59.2 356.4  859.3   54 634.7
1027.8  52.9 378.6  864.9 50.7 639.4
1027.4  57.7   381  868.4 49.3   645
  1048  52.3 375.5  886.1 46.4 639.6
1050.1  54.6 381.3  878.2 54.2   650
1045.5  48.1 401.2  885.6 47.6 657.5
1055.8    45 400.2  907.2 43.7 647.6
1072.2  46.9   390  918.3 47.4 641.1
1081.2    44 391.4  910.7 52.8 651.5
  1088  39.9 394.2  906.7 44.1 670.8
1091.1  38.8 396.8  931.3 39.3   657
1121.4  37.9 374.4  960.8 39.3 634.8
1114.7  46.1 379.2  947.2 45.2 649.4
1106.5  41.4 396.1  953.9 37.5   656
1118.9  38.2 392.1  969.9 40.3 642.5
1141.2  36.1 378.6  977.2 42.1 641.5
1139.7  47.1   376  979.8 50.8   638
1141.9  37.8 390.8  988.6 40.2 647.4
1139.5  41.2 393.5    984 40.1 657.2
1161.3  40.4 378.3  991.1 39.7 656.9
1158.8  45.9 380.3  999.5 48.7 645.4
1155.7  37.2 394.9 1005.5 40.4 651.4
1157.9  37.5 394.9  997.4 38.4 664.5
1170.8  38.7 385.2 1028.2   34 643.3
1151.1  45.8 402.1    996   47 667.2
  1155  43.5 402.6   1018 38.9 656.7
1145.9  47.8 410.4 1024.9 40.4 651.9
1173.3    50 384.8 1039.6 47.6 634.7
1142.4  64.7 405.4 1014.6 56.7 656.1
1143.6    64 409.7 1006.5 61.8 663.3
1117.2  72.9 431.7 1008.3 62.2 666.5
1138.9  77.2 411.7 1016.4   68 659.2
1140.9  71.7 421.8 1008.7 72.6   668
1134.9  76.4 425.2 1008.7 67.8 676.8
1146.6  65.4 427.9 1010.2 68.5 678.5
1152.7  71.5 421.4 1023.8 67.7 670.8
1157.6  73.5   419   1028 74.5 664.9
1150.6    70 431.6 1030.6 64.8 674.1
1153.2  66.5 433.6 1025.7 66.6 679.2
1163.5  73.1 420.8   1044 63.6 668.8
1163.9  78.6 418.7 1035.7 77.4 666.6
1150.6  71.6 440.9 1038.7   72 671.7
1137.9  77.4 448.5 1036.5 74.9   674
1144.3  72.4 452.5 1026.2 71.5 691.6
  1160  64.8 449.6 1044.2 76.2 673.8
1159.2  63.5   455 1042.7 70.4 685.1
1170.4    66 447.2 1056.1   68 678.7
1197.3  62.5   431   1075 70.1 664.5
1204.8  66.1 429.1 1079.7 74.1   663
1207.7  55.8   445 1070.6 65.6 687.4
1205.3  55.5 455.7   1087 67.9 675.9
1232.6  62.3 432.7 1117.7 71.2 650.8
1242.8  68.7 427.9 1114.2 73.6 661.6
1239.3  59.5 450.4 1103.7 72.1 681.8
1223.6  66.1 469.1 1099.2 67.5 698.6
1252.2  61.5 456.6 1128.2 60.3 687.6
1262.7  66.5   452 1136.3   72   680
1287.2  60.3 452.1 1155.3 64.2 678.5
1297.7  62.8 447.5 1161.1   61 684.7
1320.2  66.5 431.7 1190.1 70.3 656.8
  1338  60.4   429 1189.3 75.5 662.4
1325.9  62.8 448.3 1182.1 59.4 694.6
1341.7  55.8 445.5 1206.5 65.2 671.1
1360.6  56.7 434.4 1227.4 62.2 660.9
1363.2  57.7 440.2 1227.6 67.6 665.2
1355.8    59 453.9 1229.9 59.9 677.9
1360.9  54.5   460 1247.1 48.8 678.1
1363.9  64.4 456.5 1238.4 53.4 691.1
  1372  56.9 466.1 1251.7 63.9   677
1368.4  50.8 483.6 1254.1 55.1   691
1373.4  52.6 483.1 1258.6 56.3 690.8
